Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
88;Actamone;Montelukastum;tabletki do rozgryzania i żucia;5 mg;"28 tabl.
30 tabl.
56 tabl.
60 tabl.";"Rp
Rp
Rp
Rp";"5909990842605
5909990842636
5909990842643
5909990842650";Actavis Ltd.;MT
89;Actamone;Montelukastum;tabletki powlekane;10 mg;"28 tabl.
30 tabl.
56 tabl.
60 tabl.";"Rp
Rp
Rp
Rp";"5909990842834
5909990842841
5909990842858
5909990842865";Actavis Ltd.;MT
90;Actelsar;Telmisartanum;tabletki;20 mg;"28 tabl.
30 tabl.
56 tabl.";"Rp
Rp
Rp";"5909990891795
5909990891801
5909990891825";"Actavis Ltd.
Actavis hf.";"MT
IS"
91;Actelsar;Telmisartanum;tabletki;40 mg;"28 tabl.
30 tabl.
56 tabl.";"Rp
Rp
Rp";"5909990891832
5909990891849
5909990891856";"Actavis Ltd.
Actavis hf.";"MT
IS"
92;Actelsar;Telmisartanum;tabletki;80 mg;"28 tabl.
30 tabl.
56 tabl.";"Rp
Rp
Rp";"5909990891863
5909990891870
5909990891887";"Actavis Ltd.
Actavis hf.";"MT
IS"
93;Act-HiB;Vaccinum haemophili stirpe b coniugatum Szczepionka przeciw haemophilus typ b, skoniugowana;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;"10 mcg polisacharydu otoczkowego Haemophilus influenzae typ b skoniugowanego z 18-30 mcg toksoidu tężcowego/0,5 ml; 1 dawka (0,5 ml)";"1 fiol. proszku + rozp. amp.-strzyk. bez igły 0,5 ml
1 fiol. proszku + rozp. amp.-strzyk. z 2 igłami 0,5 ml
1 fiol. proszku + rozp. amp.-strzyk. z igłą 0,5 ml";"Rp

Rp

Rp";"5909990616053

5909990616480

5909990346813";Sanofi Pasteur S.A.;F
94;Actifed;Triprolidini hydrochloridum + Pseudoephedrini hydrochloridum + Dextromethorphani hydrobromidum;syrop;(1,25 mg + 30 mg + 10 mg)/5 ml;1 butelka 100 ml;OTC;5909990486212;"Famar Orleans
Glaxo Wellcome Operations";"F
GB"
95;ActiFlu Extra C;Paracetamolum + Acidum ascorbicum + Phenylephrini hydrochloridum;proszek do sporządzania roztworu doustnego;(650 mg + 50 mg +10 mg)/sasz.;"5 sasz.
8 sasz.
10 sasz.";"OTC
OTC
OTC";"5909991115418
5909991115425
5909991115432";US Pharmacia Sp. z o.o.;PL
96;Actilyse 10;Alteplasum;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;10 mg;1 fiol. proszku + rozp. 10 ml;Lz;5909990688418;Boehringer Ingelheim Pharma GmbH & Co. KG;D
97;Actilyse 20;Alteplasum;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;20 mg;1 fiol. proszku + rozp. 20 ml;Lz;5909990031412;Boehringer Ingelheim Pharma GmbH & Co. KG;D
98;Actilyse 50;Alteplasum;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;50 mg;1 fiol. proszku + rozp. 50 ml;Lz;5909990024810;Boehringer Ingelheim Pharma GmbH & Co. KG;D
99;Actisept;Povidonum iodinatum;krem;100 mg/g;"1 op. 20 g
10 op. 1 g";"OTC
OTC";"5909990837717
5909990931958";Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;PL
100;ACTI-trin;Triprolidini hydrochloridum + Pseudoephedrini hydrochloridum + Dextromethorphani hydrobromidum;syrop;(1,25 mg + 30 mg + 10 mg)/5 ml;1 butelka 100 ml;OTC;5909991040819;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;PL
101;Activelle;Estradiolum + Norethisteronum;tabletki powlekane;1 mg + 0,5 mg;28 tabl.;Rp;5909990451210;Novo Nordisk A/S;DK
102;Actonel;Risedronatum natricum;tabletki powlekane;35 mg;"1 tabl.
2 tabl.
4 tabl.
12 tabl.
16 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909991004811
5909991004828
5909991004835
5909991004842
5909990419937";Warner Chilcott Deutschland GmbH;D
103;Acular;Ketorolacum;krople do oczu, roztwór;5 mg/ml;"1 butelka 3 ml
1 butelka 5 ml
1 butelka 10 ml";"Rp
Rp
Rp";"5909991132712
5909991132729
5909991132736";Allergan Pharmaceuticals Ireland;IRL
104;Acurenal;Quinaprilum;tabletki powlekane;5 mg;30 tabl.;Rp;5909991125417;"ICN Polfa Rzeszów S.A.
Polfarmex S.A.";"PL
PL"
105;Acurenal;Quinaprilum;tabletki powlekane;10 mg;30 tabl.;Rp;5909991125516;"ICN Polfa Rzeszów S.A.
Polfarmex S.A.";"PL
PL"
106;Acurenal;Quinaprilum;tabletki powlekane;20 mg;30 tabl.;Rp;5909991125615;"ICN Polfa Rzeszów S.A.
Polfarmex S.A.";"PL
PL"
107;Acutral;Tramadoli hydrochloridum + Paracetamolum;tabletki powlekane;37,5 mg + 325 mg;"2 tabl.
10 tabl.
20 tabl.
30 tabl.
50 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909991119010
5909991119027
5909991119034
5909991119041
5909990835751";"Grüenenthal GmbH
Janssen-Cilag S.p.A.";"D
I"
108;Acutral Effervescent;Tramadoli hydrochloridum + Paracetamolum;tabletki musujące;37,5 mg + 325 mg;"2 tabl.
10 tabl. w blistrach
10 tabl. w tubie
20 tabl. w blistrach
20 tabl. w tubach
30 tabl. w blistrach
30 tabl. w tubach
50 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990767533
5909990767540
5909990767571
5909990767557
5909990767588
5909990767564
5909990767595
5909990847891";Grüenenthal GmbH;D
109;Acuver;Betahistini dihydrochloridum;roztwór doustny;8 mg/dawkę odmierzoną;"1 butelka 60 ml
1 butelka 120 ml";"Rp
Rp";"5909990699483
5909990699490";Laboratorio Farmacologico Milanese S.r.l.;I
110;Acviscin;Vancomycinum;proszek do sporządzania koncentratu roztworu do infuzji;500 mg;"1 fiol. proszku
10 fiol. proszku";"Lz
Lz";"5909990798278
5909990798285";Actavis Nordic A/S;DK
111;Acviscin;Vancomycinum;proszek do sporządzania koncentratu roztworu do infuzji;1000 mg;"1 fiol. proszku
10 fiol. proszku";"Lz
Lz";"5909990798292
5909990798308";Actavis Nordic A/S;DK
112;Acyclovir 200 Stada;Aciclovirum;tabletki;200 mg;"25 tabl.
100 tabl.";"Rp
Rp";"5909990978113
5909990978120";STADA Arzneimittel AG;D
113;Acyclovir 400 Stada;Aciclovirum;tabletki;400 mg;35 tabl.;Rp;5909990978212;STADA Arzneimittel AG;D
114;Acyclovir 800 Stada;Aciclovirum;tabletki;800 mg;35 tabl.;Rp;5909990978311;STADA Arzneimittel AG;D
115;Adacel;Szczepionka przeciw błonicy, tężcowi i krztuścowi (bezkomórkowa, złożona), adsorbowana o zmniejszonej zawartości antygenów.;zawiesina do wstrzykiwań;;"1 fiol.
10 fiol.
20 fiol.";"Rp
Rp
Rp";"5909990781508
5909990781546
5909990781553";"Sanofi Pasteur S.A.
Sanofi-Aventis Zrt.";"F
H"
116;Adamon SR 50;Tramadoli hydrochloridum;kapsułki o przedłużonym uwalnianiu;50 mg;"10 kaps.
30 kaps.
50 kaps.";"Rp
Rp
Rp";"5909990936014
5909990936021
5909990936038";Temmler Pharma GmbH & Co. KG;D
117;Adamon SR 100;Tramadoli hydrochloridum;kapsułki o przedłużonym uwalnianiu;100 mg;"10 kaps.
30 kaps.
50 kaps.";"Rp
Rp
Rp";"5909990936113
5909990936120
5909990936137";Temmler Pharma GmbH & Co. KG;D
118;Adamon SR 150;Tramadoli hydrochloridum;kapsułki o przedłużonym uwalnianiu;150 mg;"10 kaps.
30 kaps.
50 kaps.";"Rp
Rp
Rp";"5909990936212
5909990936229
5909990936236";Temmler Pharma GmbH & Co. KG;D
119;Adamon SR 200;Tramadoli hydrochloridum;kapsułki o przedłużonym uwalnianiu;200 mg;"10 kaps. 
30 kaps. 
50 kaps. ";"Rp
Rp
Rp";"5909990936311
5909990936328
5909990936335";Temmler Pharma GmbH & Co. KG;D
120;Adartrel;Ropinirolum;tabletki powlekane;0,25 mg;"2 tabl.
12 tabl.";"Rp
Rp";"5909990620326
5909990620333";"Glaxo Wellcome GmbH & Co. KG
Glaxo Wellcome S.A.
SmithKline Beecham Pharmaceuticals";"D

E
GB"
121;Adartrel;Ropinirolum;tabletki powlekane;0,5 mg;"28 tabl.
84 tabl.";"Rp
Rp";"5909990620340
5909990620555";"Glaxo Wellcome GmbH & Co. KG
Glaxo Wellcome S.A.
Smith Kline Beecham Pharmaceuticals";"D

E
GB"
122;Adartrel;Ropinirolum;tabletki powlekane;2 mg;"28 tabl.
84 tabl.";"Rp
Rp";"5909990620609
5909990620616";"Glaxo Wellcome GmbH & Co. KG
Glaxo Wellcome S.A.
Smith Kline Beecham Pharmaceuticals";"D

E
GB"
123;Adavin;Nicergolinum;tabletki drażowane;10 mg;"30 tabl.
50 tabl.";"Rp
Rp";"5909990172412
5909990172429";"LEK S.A.
Lek Pharmaceuticals d.d.";"PL
SLO"
124;Adavin 4 mg Iniekcje;Nicergolinum;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;4 mg;5 fiol. proszku + 5 amp. rozp. 4 ml;Rp;5909990326112;Lek Pharmaceuticals d.d.;SLO
125;Addamel N;Roztwór pierwiastków śladowych;koncentrat do sporządzania roztworu do infuzji;;20 amp. 10 ml;Lz;5909990271818;Fresenius Kabi Norge  AS;N
126;Addiphos;Kalii dihydrophosphas + Natrii hydrophosphas + Kalii hydroxidum;koncentrat do sporządzania roztworu do infuzji;(170,1 mg + 133,5 mg + 14 mg)/ml;10 fiol. 20 ml;Lz;5909990271719;Fresenius Kabi Norge  AS;N
127;Adeksa;Acarbosum;tabletki;50 mg;"30 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp";"5909990893386
5909990893393
5909990893409";Polfarmex S.A.;PL
128;Adenocor;Adenosinum;roztwór do wstrzykiwań;3 mg/ml;6 fiol. 2 ml;Lz;5909990374717;"Glaxo Wellcome Production
Sanofi-Aventis S.A.";"F
E"
129;Adepend;Naltrexoni hydrochloridum;tabletki powlekane;50 mg;"7 tabl.
14 tabl.
28 tabl.";"Rp
Rp
Rp";"5909990823048
5909990823055
5909990823062";Haupt Pharma Wolfratshausen GmbH;D
130;Aderegl;Repaglinidum;tabletki;0,5 mg;"30 tabl.
90 tabl. w blistrach
90 tabl. w butelce
120 tabl.
270 tabl. w blistrach
270 tabl. w butelce";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990904464
5909990904471
5909990904501
5909990904488
5909990904495
5909990904525";Specifar S.A.;GR
131;Aderegl;Repaglinidum;tabletki;1 mg;"30 tabl.
90 tabl. w blistrach
90 tabl. w butelce
120 tabl.
270 tabl. w blistrach
270 tabl. w butelce";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990904594
5909990904600
5909990904648
5909990904624
5909990904631
5909990904655";Specifar S.A.;GR
132;Aderegl;Repaglinidum;tabletki;2 mg;"30 tabl.
90 tabl. w blistrach
90 tabl. w butelce
120 tabl.
270 tabl. w blistrach
270 tabl. w butelce";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990904662
5909990904679
5909990904709
5909990904686
5909990904693
5909990904723";Specifar S.A.;GR
133;Adipine;Amlodipinum;tabletki;5 mg;"30 tabl.
50 tabl.
100 tabl.
300 tabl.
500 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990642311
5909990642328
5909990642335
5909990642342
5909990642359";"ICN Polfa Rzeszów S.A.
Specifar S.A.";"PL
GR"
134;Adipine;Amlodipinum;tabletki;10 mg;"30 tabl.
50 tabl.
100 tabl.
500 tabl.";"Rp
Rp
Rp
Rp";"5909990642267
5909990642274
5909990642281
5909990642298";"ICN Polfa Rzeszów S.A.
Specifar S.A.";"PL
GR"
135;Adolamid;Dorzolamidum;krople do oczu, roztwór;20 mg/ml;1 butelka 5 ml;Rp;5909990851430;Pharmathen S.A.;GR
136;Adonis vernalis;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 5CH - 15CH,
Rp: 2CH - 4CH; 30CH - 200CH; 6K - 100MK";"5909997037493
5909997037486
5909997037516
5909997089812
5909997089669
5909997089966
5909997089829
5909997089676
5909997089973
5909997089836
5909997089683
5909997089980
5909997089843
5909997089690
5909997089997
5909997089850
5909997089706
5909997090009
5909997089867
5909997089713
5909997090016
5909997089874
5909997089720
5909997090023
5909997089881
5909997089737
5909997090030
5909997089898
5909997089744
5909997090047";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997089904
5909997089751
5909997090054
5909997089911
5909997089768
5909997091716
5909997089928
5909997089775
5909997091723
5909997089935
5909997089782
5909997091730
5909997089942
5909997089799
5909997091747
5909997089959
5909997089805
5909997091754";;
137;Adozol 20 mg;Pantoprazolum;tabletki powlekane;20 mg;"7 tabl.
14 tabl.
28 tabl.";"Rp
Rp
Rp";"5909990881802
5909990881826
5909990881833";"Farma APS Produtos Farmaceuticos, SA
Genericon Pharma Gesellschaft m.b.H.
Przedsiębiorstwo Farmaceutyczne Jelfa S.A.
Sofarimex Industria Quimica e Farmaceutica SA";"P

A

PL

P"
138;Adozol 40 mg;Pantoprazolum;tabletki powlekane;40 mg;"7 tabl.
14 tabl.
28 tabl.";"Rp
Rp
Rp";"5909990881840
5909990881857
5909990881864";"Farma APS Produtos Farmaceuticos, SA
Genericon Pharma Gesellschaft m.b.H.
Przedsiębiorstwo Farmaceutyczne Jelfa S.A.
Sofarimex Industria Quimica e Farmaceutica SA";"P

A

PL

P"
139;Adrenalina WZF;Adrenalinum;roztwór do wstrzykiwań;300 mcg/0,3 ml;1 amp.-strzyk. 1 ml;Rp;5909991069711;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
140;Adrenalina WZF 0,1%;Adrenalinum;roztwór do wstrzykiwań;1 mg/ml;10 amp. 1 ml;Rp;5909990182510;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
141;Adriblastina PFS;Doxorubicini hydrochloridum;roztwór do wstrzykiwań;2 mg/ml;"1 fiol. 5 ml
1 fiol. 25 ml
1 fiol. 100 ml";"Lz
Lz
Lz";"5909990471010
5909990471027
5909990929177";Actavis Italy S.p.A.;I
142;Adriblastina PFS;Doxorubicini hydrochloridum;roztwór do wstrzykiwań;2 mg/ml;"1 fiol. 5 ml
1 fiol. 25 ml";"Lz
Lz";"5909990871810
5909990871827";Pfizer Italia S.r.l.;I
143;Adriblastina R.D.;Doxorubicini hydrochloridum;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;10 mg;1 fiol. proszku + 1 amp. rozp.;Lz;5909990235612;Actavis Italy S.p.A.;I
144;Adriblastina R.D.;Doxorubicini hydrochloridum;proszek do sporządzania roztworu do wstrzykiwań;50 mg;1 fiol. proszku;Lz;5909990235711;Actavis Italy S.p.A.;I
145;Adrimedac;Doxorubicini hydrochloridum;roztwór do wstrzykiwań;2 mg/ml;"1 fiol. 5 ml
1 fiol. 10 ml
1 fiol. 25 ml
1 butelka 100 ml
5 butelek 100 ml
10 fiol. 5 ml
10 fiol. 10 ml
10 fiol. 25 ml";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909991133719
5909991133726
5909991133733
5909991133740
5909991133788
5909991133757
5909991133764
5909991133771";medac Gesellschaft fur klinische Specialpraparate mbH;D
146;Advantan;Methylprednisoloni aceponas;emulsja na skórę;1 mg/g;"1 tuba 15 g
1 tuba 25 g
1 tuba 50 g";"Rp
Rp
Rp";"5909990718016
5909990718023
5909990718030";Intendis Manufacturing S.p.A.;I
147;Advantan;Methylprednisoloni aceponas;krem;1 mg/g;"1 tuba 15 g
1 tuba 25 g
1 tuba 50 g";"Rp
Rp
Rp";"5909990717910
5909990717927
5909990717934";Intendis Manufacturing S.p.A.;I
148;Advantan;Methylprednisoloni aceponas;maść;1 mg/g;"1 tuba 15 g
1 tuba 25 g
1 tuba 50 g";"Rp
Rp
Rp";"5909990718115
5909990718122
5909990718139";Intendis Manufacturing S.p.A.;I
149;Aero-OM;Simeticonum;tabletki do rozgryzania i żucia;42 mg;"20 tabl.
60 tabl.";"OTC
OTC";"5909990731329
5909990731336";OM Portuguesa Laboratorios de Especialidades Farmaceuticas S.A.;P
150;Aerosonit;Isosorbidi dinitras;aerozol do stosowania w jamie ustnej, roztwór;1,25 mg/dawkę;1 poj. 18 ml (200 dawek);Rp;5909990147311;GlaxoSmithKline Pharmaceuticals S.A.;PL
151;Aerrane;Isofluranum;płyn do anestezji wziewnej;100%;"1 butelka 100 ml
1 butelka 250 ml
6 butelek 100 ml
6 butelek 250 ml";"Lz
Lz
Lz
Lz";"5909990961610
5909990961627
5909990649969
5909990649976";Baxter S.A.;B
152;Aescin;Escinum;tabletki powlekane;20 mg;"30 tabl.
90 tabl.";"OTC
OTC";"5909990202119
5909990335558";Teva Operations Poland Sp. z o.o.;PL
153;Aescin;Escinum + Diethylamini salicylas + Heparinum;żel;(20 mg + 50 mg + 50 j.m.)/g;1 op. 40 g;OTC;5909990126019;Teva Operations Poland Sp. z o.o.;PL
154;Aesculan;Hippocastani corticis extractum siccum + Lidocaini hydrochloridum;maść doodbytnicza;(50 mg + 5 mg)/g;1 tuba 30 g;OTC;5909990028115;Poznańskie Zakłady Zielarskie HERBAPOL S.A.;PL
155;Aesculus comp. N;Homeopatyczny produkt leczniczy;krople doustne, roztwór;;1 op. 30 ml;OTC;5909990776993;Biologische Heilmittel Heel GmbH;D
156;Aesculus hippocastanum;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997035819
5909997035802
5909997035833
5909997091914
5909997091761
5909997092065
5909997091921
5909997091778
5909997092072
5909997091938
5909997091785
5909997092089
5909997091945
5909997091792
5909997092096
5909997091952
5909997091808
5909997092102
5909997091969
5909997091815
5909997092119
5909997091976
5909997091822
5909997092126
5909997091983
5909997091839
5909997092133
5909997091990
5909997091846
5909997092140";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997092003
5909997091853
5909997092157
5909997092010
5909997091860
5909997092164
5909997092027
5909997091877
5909997092171
5909997092034
5909997091884
5909997092188
5909997092041
5909997091891
5909997092195
5909997092058
5909997091907
5909997092201";;
157;Aescuven Forte;Hippocastani seminis extractum siccum;tabletki powlekane;30 mg glikozydów triterpenowych w przeliczeniu na bezwodną escynę/tabletkę;"40 tabl.
100 tabl.";"OTC
OTC";"5909990027910
5909990027927";Cesra  Arzneimittel GmbH & Co. KG;D
158;Aethoxysklerol 0,5%;Lauromacrogolum 400;roztwór do wstrzykiwań;5 mg/ml;5 amp. 2 ml;Rp;5909990930418;Chemische Fabrik Kreussler Co.GmbH;D
159;Aethoxysklerol 1%;Lauromacrogolum 400;roztwór do wstrzykiwań;10 mg/ml;5 amp. 2 ml;Rp;5909990930524;Chemische Fabrik Kreussler Co.GmbH;D
160;Aethoxysklerol 1% F;Lauromacrogolum 400;roztwór do wstrzykiwań;10 mg/ml;1 fiol. 30 ml;Rp;5909990674022;Chemische Fabrik Kreussler Co.GmbH;D
161;Aethoxysklerol 2%;Lauromacrogolum 400;roztwór do wstrzykiwań;20 mg/ml;5 amp. 2 ml;Rp;5909990930616;Chemische Fabrik Kreussler Co.GmbH;D
162;Aethoxysklerol 3%;Lauromacrogolum 400;roztwór do wstrzykiwań;30 mg/ml;5 amp. 2 ml;Rp;5909990930715;Chemische Fabrik Kreussler Co.GmbH;D
163;Aethylum chloratum filofarm;Ethylis chloridum;aerozol;;1 poj. 70 g;Rp;5909990210619;Farmaceutyczna Spółdzielnia Pracy FILOFARM;PL
164;Afibron;Sibutramini hydrochloridum;kapsułki twarde;10 mg;"7 kaps.
30 kaps.
60 kaps.
100 kaps.";"Rp
Rp
Rp
Rp";"5909990689262
5909990662500
5909990662517
5909990662524";"Pharmachemie B.V.
TEVA Pharmaceutical Works Private Limited Company
Teva Pharmaceutical Works Private Limited Company
Teva Sante SA
Teva UK Ltd.";"NL
H

H

F
GB"
165;Afibron;Sibutramini hydrochloridum;kapsułki twarde;15 mg;"30 kaps.
60 kaps.
100 kaps.";"Rp
Rp
Rp";"5909990662463
5909990662470
5909990662487";"Pharmachemie B.V.
TEVA Pharmaceutical Works Private Limited Company
Teva Pharmaceutical Works Private Limited Company
Teva Sante SA
Teva UK Ltd.";"NL
H
H
F
GB"
166;Aflavic;Diosminum;tabletki powlekane;600 mg;"10 tabl.
30 tabl. w blistrach
30 tabl. w pojemniku";"OTC
OTC
OTC";"5909990781492
5909990698424
5909990698417";Polfarmex S.A.;PL
167;Aflegan;Ambroxoli hydrochloridum;roztwór do wstrzykiwań;7,5 mg/ml;10 amp. 2 ml;Rp;5909990656318;"ICN Polfa Rzeszów S.A.
Strides Arcolab Polska Sp. z o.o.";"PL
PL"
168;Aflobax;Levofloxacinum;roztwór do infuzji;5 mg/ml;"1 fiol.
5 fiol.";"Rp
Rp";"5909990777457
5909990777464";Laboratorios Normon, S.A.;E
169;Aflobax;Levofloxacinum;tabletki powlekane;250 mg;"7 tabl.
10 tabl.";"Rp
Rp";"5909990777396
5909990777402";Laboratorios Normon, S.A.;E
170;Aflobax;Levofloxacinum;tabletki powlekane;500 mg;"7 tabl.
10 tabl.";"Rp
Rp";"5909990777433
5909990777440";Laboratorios Normon, S.A.;E
171;Afloderm;Alclometasoni dipropionas;krem;0,5 mg/g;"1 op. 20 g
1 op. 40 g";"Rp
Rp";"5909991134716
5909991134723";Belupo s.r.o.;SK
172;Afloderm;Alclometasoni dipropionas;maść;0,5 mg/g;"1 op. 20 g
1 op. 40 g";"Rp
Rp";"5909991134518
5909991134525";Belupo s.r.o.;SK
173;Aflomag (o smaku miętowym);Aluminii hydroxidum + Magnesii hydroxidum;zawiesina doustna;(175 mg + 200 mg)/5 ml;1 butelka 250 ml;OTC;5909990425822;Aflofarm Farmacja Polska Sp. z o.o.;PL
174;Aflubin;Homeopatyczny produkt leczniczy;krople doustne, roztwór;;"1 op. 20 ml
1 op. 50 ml
1 op. 100 ml";"OTC
OTC
OTC";"5909990224975
5909990224982
5909990224999";Richard Bittner AG;A
175;Aflubin;Homeopatyczny produkt leczniczy;tabletki;;"12 tabl.
24 tabl.
36 tabl.
48 tabl.";"OTC
OTC
OTC
OTC";"5909990661558
5909990661565
5909990661572
5909990661589";Richard Bittner AG;A
176;Afobam;Alprazolamum;tabletki;0,25 mg;"30 tabl. w blistrze
30 tabl. w butelce
100 tabl.";"Rp
Rp
Rp";"5909990801794
5909990801800
5909990801848";EGIS Pharmaceuticals PLC;H
177;Afobam;Alprazolamum;tabletki;0,5 mg;"30 tabl. w blistrze
30 tabl. w butelce
100 tabl.";"Rp
Rp
Rp";"5909990801855
5909990801862
5909990801879";EGIS Pharmaceuticals PLC;H
178;Afobam;Alprazolamum;tabletki;1 mg;"30 tabl. w blistrach
30 tabl. w butelce
100 tabl.";"Rp
Rp
Rp";"5909990745951
5909990908417
5909990908424";Egis Pharmaceuticals PLC;H
179;Afrin;Oxymetazolini hydrochloridum;aerozol do nosa, roztwór;500 mcg/ml;1 butelka 20 ml;OTC;5909990121212;"Schering-Plough
Schering-Plough Labo N.V.";"F
B"
180;Afrin;Oxymetazolini hydrochloridum;krople do oczu, roztwór;0,25 mg/ml (0,025%);1 butelka 10 ml;OTC;5909990428014;Schering-Plough Labo N.V.;B
181;Afronis;Produkt złożony;płyn do stosowania na skórę;;"1 op. 50 g
1 op. 100 g";"OTC
OTC";"5909990006519
5909990006526";ELANDA Zakład Produkcji Środków Farmaceutycznych Sp.J. B.Kazub, A.Orłowski;PL
182;Agapurin;Pentoxifyllinum;tabletki drażowane;100 mg;60 tabl.;Rp;5909990234714;Zentiva a.s.;SK
183;Agapurin SR 400;Pentoxifyllinum;tabletki o przedłużonym uwalnianiu;400 mg;"20 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990623495
5909990623501
5909990623518";Zentiva a.s.;SK
184;Agapurin SR 600;Pentoxifyllinum;tabletki o przedłużonym uwalnianiu;600 mg;"20 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990039791
5909990039807
5909990039838";Zentiva a.s.;SK
